ID,Famille,Sous-famille,Nom,Descriptions,"Prix Descriptions","Prix Tarifs",Texte,Photos
17,"Création diverses sur mesures","Plaque porte de chambre","Plaque porte de chambre",,,,,"static/images/images_articles/créations sur mesure/enseigne/plaque_porte_enseigne_suspendue_pancarte_bois_surcyclage_recyclage_upcycling_palette_gravure_personnalisee_2.jpg;static/images/images_articles/créations sur mesure/enseigne/plaque_porte_enseigne_suspendue_pancarte_bois_surcyclage_recyclage_upcycling_palette_gravure_personnalisee_3.png;static/images/images_articles/créations sur mesure/enseigne/plaque_porte_enseigne_suspendue_pancarte_bois_surcyclage_recyclage_upcycling_palette_gravure_personnalisee_4.jpg"
18,"Création diverses sur mesures","Tableau en bois","Tableau en bois",,,,,"static/images/images_articles/plaque bois/Plaque bois gravure personnalisee 200 x 400 1.png;static/images/images_articles/plaque bois/Plaque bois gravure personnalisee 200 x 400 details1.jpg;static/images/images_articles/plaque bois/Plaque bois gravure personnalisee 200 x 400 details2.png;static/images/images_articles/plaque bois/Plaque_bois_gravure_personnalisee_400x400_enseigne_boutique.png"
19,"Création diverses sur mesures","Jeux de société","Jeux de société",,,,,static/images/images_articles/jeux/jeux_societe_jackpot_bois_recyclage_surcyclage_upcycling_palette_5.jpg;static/images/images_articles/jeux/jeux_societe_jackpot_bois_recyclage_surcyclage_upcycling_palette_6.jpg
20,"Création diverses sur mesures","Bar à pétanque","Bar à pétanque",,,,,"static/images/images_articles/créations sur mesure/bar pétanque/bar_boule_petanque_bois_surcyclage_recyclage_upcycling_palette_gravure_personnalisee v2.1.jpg;static/images/images_articles/créations sur mesure/bar pétanque/bar_boule_petanque_bois_surcyclage_recyclage_upcycling_palette_gravure_personnalisee v2.2.jpg;static/images/images_articles/créations sur mesure/bar pétanque/bar_boule_petanque_bois_surcyclage_recyclage_upcycling_palette_gravure_personnalisee_3.jpg;static/images/images_articles/créations sur mesure/bar pétanque/bar_boule_petanque_bois_surcyclage_recyclage_upcycling_palette_gravure_personnalisee_avec_score 2.png;static/images/images_articles/créations sur mesure/bar pétanque/bar_boule_petanque_bois_surcyclage_recyclage_upcycling_palette_gravure_personnalisee_avec_score 3.png;static/images/images_articles/créations sur mesure/bar pétanque/bar_boule_petanque_bois_surcyclage_recyclage_upcycling_palette_gravure_personnalisee_avec_score.png"
21,"Création diverses sur mesures",Guitare,Guitare,,,,,
22,"Création diverses sur mesures","Horloge Harry Potter","Horloge Harry Potter",,,,,
23,"Création diverses sur mesures",Vase,Vase,,,,,static/images/images_articles/tasse/Tasse_Verre_gravure_personnalisee.jpg
24,"Création diverses sur mesures","Table de chevet","Table de chevet",,,,,
25,"Création diverses sur mesures","Coffre au trésor","Coffre au trésor",,,,,"static/images/images_articles/créations sur mesure/coffre pirate/coffre_pirate_bois_Sur_Mesure_3.1.jpg;static/images/images_articles/créations sur mesure/coffre pirate/coffre_pirate_bois_Sur_Mesure_4.1.jpg;static/images/images_articles/créations sur mesure/coffre pirate/coffre_pirate_bois_Sur_Mesure_6.1.jpg"
26,"Gravures personnalisées","Porte clef","Porte clef personnalisé","Métal - plaque noire","Pour gravure des 2 côtés;Pour gravure d'un seul côté","11,90;7,90",,"static/images/images_articles/porte clef/Porte clef gravé personnalisé_1.jpg;static/images/images_articles/porte clef/Porte clef gravé personnalisé_2.jpg;static/images/images_articles/porte clef/Porte_Clef_bois_personnalisé.png;static/images/images_articles/porte clef/Porte clef gravé personnalisé_4.jpg"
27,"Gravures personnalisées","Boite à mouchoirs","Boite à mouchoirs personnalisée","Bois / métal",,11.9,,static/images/images_articles/boite/gravure_boite_personnalisée_bois_2.jpg
28,"Gravures personnalisées","Gravure sur Toile","Gravure sur Toile 25cmx25cm",,"Prix;Pour image personnalisée","15,00;22,00",,
29,,,"Nouveau produit",,,,,/static/images/images_ajoute/IMG-20230629-WA0000.jpg
